,m1,m2,m3
goose_cup/goose1,0.010951403148528405,662.1958237790964,1.1509950160980225
goose_cup/goose2,0.0054757015742642025,696.4860725585603,1.2225089073181152
goose_cup/goose3,0.010951403148528405,758.8611281419111,1.0023739337921143
goose_cup/goose4,0.01026694045174538,641.6404473463368,1.1579034328460693
goose_cup/goose5,0.01163586584531143,687.9311488345419,1.1194970607757568
goose_cup/goose7,0.030800821355236138,890.9477113571011,1.153935432434082
goose_cup/goose8,0.01574264202600958,715.0073941522555,1.069192886352539
goose_cup/goose9,0.006844626967830253,651.8240421825203,1.0763890743255615
goose_cup/goose10,0.01779603011635866,667.1156856842355,1.048269271850586
goose_cup/goose11,0.015058179329226557,656.5690645378473,1.0035443305969238
goose_cup/goose12,0.012320328542094456,693.4960669087352,1.2835004329681396
goose_cup/goose13,0.01779603011635866,655.9372373733677,1.0643305778503418
goose_cup/goose14,0.015058179329226557,659.5175616233664,1.0608530044555664
goose_cup/goose15,0.006160164271047228,678.0721322333136,1.040198564529419
goose_cup/goose16,0.019849418206707735,676.8886615562569,1.0475642681121826
goose_cup/goose17,0.01574264202600958,640.7365083479049,1.02089524269104
goose_cup/goose18,0.014373716632443531,680.4020789510007,0.9509778022766113
goose_cup/goose19,0.006844626967830253,628.692489989566,1.025346279144287
goose_cup/goose20,0.01163586584531143,638.5023181662015,1.0172624588012695
goose_cup/goose21,0.014373716632443531,656.4149565543319,0.9902529716491699
goose_cup/goose22,0.01026694045174538,625.8824288265743,1.0214099884033203
goose_cup/goose23,0.01163586584531143,681.5399546743989,0.885631799697876
goose_cup/goose26,0.01642710472279261,803.9604085704221,0.9025938510894775
goose_cup/goose29,0.03353867214236824,806.2117090662565,0.9206342697143555
goose_cup/goose31,0.01163586584531143,740.021820298129,0.9140088558197021
goose_cup/goose32,0.0013689253935660506,860.50747062375,0.9311907291412354
goose_cup/goose34,0.0054757015742642025,743.9457901282966,0.9413213729858398
goose_cup/goose35,0.03696098562628337,811.6176922411073,0.9266114234924316
goose_cup/goose36,0.08213552361396304,823.4646248213646,0.8959963321685791
goose_cup/goose37,0.034223134839151265,711.2367353811401,0.9209530353546143
goose_cup/goose38,0.019164955509924708,696.6196997170575,0.906895637512207
goose_cup/goose39,0.008213552361396304,723.2719977011344,0.9400577545166016
goose_cup/goose40,0.019164955509924708,701.2744340315655,0.897348165512085
goose_cup/goose41,0.018480492813141684,704.9268181374593,0.9305109977722168
goose_cup/goose42,0.0006844626967830253,892.4381472818008,1.006279706954956
goose_cup/goose43,0.007529089664613279,763.8025647214959,1.0431687831878662
goose_cup/goose44,0.006160164271047228,788.8259749415801,1.0442500114440918
goose_cup/goose45,0.02806297056810404,917.157436571898,0.9437873363494873
goose_cup/goose46,0.01026694045174538,851.7357717692893,1.0074419975280762
goose_cup/goose47,0.022587268993839837,834.3498433639871,1.0056979656219482
goose_cup/goose49,0.021218343600273786,680.8437855307326,0.930044412612915
goose_cup/goose50,0.013004791238877482,684.2219444029466,0.9036085605621338
goose_cup/goose51,0.01026694045174538,684.6172039389692,0.9546754360198975
goose_cup/goose52,0.017111567419575632,764.111543941302,0.9486083984375
goose_cup/goose53,0.013689253935660506,666.7742430512665,0.943544864654541
goose_cup/goose54,0.004791238877481177,638.9681440976121,0.99835205078125
goose_cup/goose55,0.012320328542094456,648.8279618844849,0.9404094219207764
goose_cup/goose56,0.01026694045174538,644.8055984528403,0.9654769897460938
goose_cup/goose57,0.01026694045174538,680.9074678205611,0.9483397006988525
goose_cup/goose58,0.012320328542094456,638.6162524840181,1.0292646884918213
goose_cup/goose59,0.019849418206707735,647.0375275138631,0.9266567230224609
goose_cup/goose60,0.019164955509924708,636.3184686199922,1.0126450061798096
goose_cup/goose61,0.01642710472279261,646.083808058178,0.929558515548706
goose_cup/goose62,0.015058179329226557,650.3694186253061,0.9225871562957764
goose_cup/goose63,0.026694045174537988,640.9160685137801,1.041888952255249
goose_cup/goose64,0.012320328542094456,666.4854696640651,1.0352554321289062
goose_cup/goose65,0.013689253935660506,650.3450705484524,0.9702799320220947
goose_cup/goose66,0.01163586584531143,659.7164270295254,1.04451322555542
goose_cup/goose67,0.013004791238877482,663.8865594987915,1.0472640991210938
goose_cup/goose68,0.015058179329226557,682.0430042807326,1.0088565349578857
goose_cup/goose69,0.012320328542094456,645.7942788334924,1.0703277587890625
goose_cup/goose70,0.012320328542094456,649.0665255839657,1.060703992843628
goose_cup/goose71,0.014373716632443531,646.0069402946665,1.2071435451507568
goose_cup/goose72,0.014373716632443531,658.4102365858012,1.0727722644805908
goose_cup/goose73,0.009582477754962354,727.0288739736402,1.0273094177246094
goose_cup/goose74,0.01026694045174538,669.5307378644898,1.0177404880523682
goose_cup/goose75,0.00889801505817933,711.9553685328635,1.2589523792266846
goose_cup/goose76,0.00889801505817933,694.5047518647264,1.217395544052124
goose_cup/goose77,0.01163586584531143,748.3836585951536,1.7956421375274658
goose_cup/goose78,0.007529089664613279,704.3814666977817,1.2468914985656738
goose_cup/goose79,0.01574264202600958,696.1303795952246,1.2303948402404785
goose_cup/goose80,0.018480492813141684,683.0639467128411,1.1559503078460693
goose_cup/goose81,0.013004791238877482,703.8572792089777,1.072131633758545
goose_cup/goose82,0.007529089664613279,696.5506777910236,1.0213072299957275
goose_cup/goose83,0.0027378507871321013,815.8736074710039,0.9963364601135254
goose_cup/goose84,0.0034223134839151265,736.029252738352,1.0671441555023193
goose_cup/goose85,0.012320328542094456,691.0812837677734,1.082108974456787
goose_cup/goose86,0.009582477754962354,687.175287579609,0.9394865036010742
goose_cup/goose87,0.018480492813141684,677.3226767663349,0.8796470165252686
goose_cup/goose88,0.019849418206707735,682.6626948696713,0.900590181350708
goose_cup/goose89,0.008213552361396304,695.1303878251532,0.9205377101898193
goose_cup/goose90,0.008213552361396304,663.3783757746995,1.0373032093048096
goose_cup/goose91,0.004791238877481177,662.6490995914947,1.084770679473877
goose_cup/goose92,0.013689253935660506,663.4694980879829,0.9334812164306641
goose_cup/goose93,0.01642710472279261,644.6044374187869,0.9803774356842041
goose_cup/goose94,0.007529089664613279,676.743797871448,0.8995938301086426
goose_cup/goose95,0.01026694045174538,666.5627670340307,0.8567092418670654
goose_cup/goose96,0.006844626967830253,642.8808512912883,0.9624190330505371
goose_cup/goose97,0.009582477754962354,640.3070106166915,0.9524524211883545
goose_cup/goose98,0.014373716632443531,639.3685058760855,1.058168649673462
goose_cup/goose99,0.010951403148528405,642.2767521142143,1.0367834568023682
goose_cup/goose100,0.007529089664613279,638.473818132112,1.1805782318115234
goose_cup/goose101,0.007529089664613279,658.1772012469052,0.9504554271697998
goose_cup/goose102,0.009582477754962354,728.8687332017547,0.8875923156738281
goose_cup/goose103,0.017111567419575632,702.3258604745519,0.8816413879394531
goose_cup/goose104,0.019164955509924708,635.9453080926016,0.9205386638641357
goose_cup/goose105,0.01163586584531143,673.6429414533736,0.969379186630249
goose_cup/goose106,0.004791238877481177,646.968705132267,0.9265272617340088
goose_cup/goose107,0.014373716632443531,645.2010927924875,0.9823727607727051
goose_cup/goose108,0.013689253935660506,666.9105603938067,0.9364957809448242
goose_cup/goose109,0.01163586584531143,679.0720299231851,0.8826351165771484
goose_cup/goose110,0.01026694045174538,685.8753160793923,1.0661492347717285
goose_cup/goose111,0.007529089664613279,652.4964131088309,1.1718645095825195
goose_cup/goose112,0.013004791238877482,657.722104510569,1.0611777305603027
goose_cup/goose113,0.006844626967830253,711.6724817170254,1.0362293720245361
goose_cup/goose114,0.02190280629705681,648.6452796095288,1.0746488571166992
goose_cup/goose115,0.004791238877481177,645.9359457549945,1.0462336540222168
goose_cup/goose116,0.0027378507871321013,663.9476434497454,1.0521838665008545
goose_cup/goose117,0.0034223134839151265,635.9713713784972,1.170400857925415
goose_cup/goose118,0.007529089664613279,631.9538618292734,1.0362231731414795
